code;name
ICC009;DESENVOLVIMENTO DE APLICATIVOS PARA DISPOSITIVOS MÓVEIS
ICC015;DESAFIOS DE PROGRAMAÇÃO I
ICC021;PRÁTICA EM PROGRAMAÇÃO I
ICC061;ORGANIZAÇÃO DE COMPUTADORES
ICC102;METODOLOGIA CIENTÍFICA EM CIÊNCIA DA COMPUTAÇÃO
ICC121;COMPUTAÇÃO NUMÉRICA
ICC360;PRÁTICA EM SISTEMAS EMBARCADOS I
ICC460;PRÁTICA EM DESENVOLVIMENTO DE JOGOS DIGITAIS I
ICC462;PRÁTICA EM ROBÓTICA I
ICC016;DESAFIOS DE PROGRAMAÇÃO II
ICC022;PRÁTICA EM PROGRAMAÇÃO II
ICC030;TÓPICOS ESPECIAIS EM PROGRAMAÇÃO I
ICC040;LINGUAGENS FORMAIS E AUTÔMATOS
ICC042;FUNDAMENTOS DE TEORIA DA COMPUTAÇÃO
ICC062;ARQUITETURA DE COMPUTADORES
ICC361;PRÁTICA EM SISTEMAS EMBARCADOS II
ICC454;DESENVOLVIMENTO DE JOGOS DIGITAIS
ICC461;PRÁTICA EM DESENVOLVIMENTO DE JOGOS DIGITAIS II
ICC463;PRÁTICA EM ROBÓTICA II
ICC017;DESAFIOS DE PROGRAMAÇÃO III
ICC023;PRÁTICA EM PROGRAMAÇÃO III
ICC031;TÓPICOS ESPECIAIS EM PROGRAMAÇÃO II
ICC044;COMPILADORES
ICC064;SISTEMAS DE COMPUTAÇÃO
ICC190;TÓPICOS ESPECIAIS EM SISTEMAS DE INFORMAÇÃO I
ICC192;TÓPICOS AVANÇADOS EM SISTEMAS DE INFORMAÇÃO I
ICC204;APRENDIZAGEM DE MÁQUINA E MINERAÇÃO DE DADOS
ICC311;PRÁTICA EM REDES DE COMPUTADORES II
ICC400;INTRODUÇÃO À ENGENHARIA DE SOFTWARE
ICC455;DESENVOLVIMENTO DE JOGOS PARA DISPOSITIVOS MÓVEIS
ICC550;TÓPICOS ESPECIAIS EM PESQUISA EM EDUCAÇÃO EM COMPUTAÇÃO I
ICC008;PROGRAMAÇÃO PARA DISPOSITIVOS MÓVEIS USANDO TECNOLOGIAS WEB
ICC013;LABORATÓRIO DE PROGRAMAÇÃO C
ICC024;PRÁTICA EM PROGRAMAÇÃO IV
ICC026;DESAFIOS DE PROGRAMAÇÃO IV
ICC041;INTRODUÇÃO À TEORIA DOS GRAFOS
ICC180;TÓPICOS ESPECIAIS EM CIÊNCIA DA COMPUTAÇÃO I
ICC182;TÓPICOS AVANÇADOS EM CIÊNCIA DA COMPUTAÇÃO I
ICC191;TÓPICOS ESPECIAIS EM SISTEMAS DE INFORMAÇÃO II
ICC193;TÓPICOS AVANÇADOS EM SISTEMAS DE INFORMAÇÃO II
ICC200;BANCOS DE DADOS I
ICC202;RECUPERAÇÃO DE INFORMAÇÃO MULTIMÍDIA
ICC222;TÓPICOS EM RECUPERAÇÃO DE INFORMAÇÃO
ICC270;TÓPICOS ESPECIAIS EM INTELIGÊNCIA ARTIFICIAL
ICC302;GERÊNCIA DE REDES DE COMPUTADORES
ICC303;SEGURANÇA EM REDES DE COMPUTADORES
ICC304;COMUNICAÇÃO SEM FIO
ICC306;REDES DE SENSORES SEM FIO
ICC308;REDES DE DISTRIBUIÇÃO DE CONTEÚDOS
ICC310;PRÁTICA EM REDES DE COMPUTADORES
ICC312;PRÁTICA EM REDES DE COMPUTADORES III
ICC320;TÓPICOS ESPECIAIS EM REDES DE COMPUTADORES
ICC321;TÓPICOS ESPECIAIS EM SISTEMAS DISTRIBUÍDOS
ICC350;INTRODUÇÃO AOS SISTEMAS EMBARCADOS
ICC351;SISTEMAS DE TEMPO REAL
ICC352;SISTEMAS DE EVENTOS DISCRETOS
ICC370;TÓPICOS ESPECIAIS EM SISTEMAS EMBARCADOS
ICC401;ANÁLISE E PROJETO DE SISTEMAS
ICC407;PROJETO DE INTERAÇÃO COM O USUÁRIO DE DISPOSITIVOS MÓVEIS
ICC451;ROBÓTICA MÓVEL INTELIGENTE
ICC452;VISÃO COMPUTACIONAL
ICC453;ANÁLISE E TRATAMENTO DE IMAGENS E VÍDEOS
ICC470;TÓPICOS ESPECIAIS EM ROBÓTICA E VISÃO
ICC471;TÓPICOS AVANÇADOS EM ROBÓTICA E VISÃO
ICC502;INTRODUÇÃO A PESQUISA OPERACIONAL
ICC520;TÓPICOS ESPECIAIS EM OTIMIZAÇÃO
ICC551;TÓPICOS ESPECIAIS EM PESQUISA EM EDUCAÇÃO EM EM COMPUTAÇÃO II
ICC012;LABORATÓRIO DE PROGRAMAÇÃO B
ICC123;TÓPICOS ESPECIAIS EM ESTATÍSTICA APLICADA À COMPUTAÇÃO
ICC181;TÓPICOS ESPECIAIS EM CIÊNCIA DA COMPUTAÇÃO II
ICC183;TÓPICOS AVANÇADOS EM CIÊNCIA DA COMPUTAÇÃO II
ICC201;BANCOS DE DADOS II
ICC203;GERÊNCIA DE DADOS NA WEB
ICC220;TÓPICOS ESPECIAIS EM BANCO DE DADOS
ICC221;TÓPICOS AVANÇADOS EM BANCO DE DADOS
ICC223;TÓPICOS ESPECIAIS EM APRENDIZAGEM DE MÁQUINA
ICC224;TÓPICOS AVANÇADOS EM APRENDIZAGEM DE MÁQUINA
ICC251;SISTEMAS AUTONÔMICOS
ICC252;SISTEMAS COLABORATIVOS MÓVEIS
ICC266;CONSTRUÇÃO DO CONHECIMENTO
ICC271;TÓPICOS AVANÇADOS EM INTELIGÊNCIA ARTIFICIAL
ICC305;AVALIAÇÃO DE DESEMPENHO
ICC307;SEGURANÇA E AUDITORIA  DE SISTEMAS DE
ICC315;SISTEMAS DISTRIBUÍDOS I
ICC322;TÓPICOS AVANÇADOS EM REDES DE COMPUTADORES
ICC323;TÓPICOS AVANÇADOS EM SISTEMAS DISTRIBUÍDOS
ICC371;TÓPICOS AVANÇADOS EM SISTEMAS EMBARCADOS
ICC372;TÓPICOS ESPECIAIS EM ARQUITETURA DE SOFTWARE
ICC373;TÓPICOS AVANÇADOS EM ARQUITETURA DE SOFTWARE I
ICC405;ENGENHARIA DE SOFTWARE EXPERIMENTAL
ICC408;VERIFICAÇÃO E VALIDAÇÃO DE SOFTWARE
ICC421;TÓPICOS AVANÇADOS EM ENGENHARIA DE SOFTWARE I
ICC422;TÓPICOS ESPECIAIS EM INTERAÇÃO HUMANO-COMPUTADOR
ICC423;TÓPICOS AVANÇADOS EM INTERAÇÃO HUMANO-COMPUTADOR
ICC424; I II
ICC425;TÓPICOS AVANÇADOS EM ENGENHARIA DE SOFTWARE II
ICC500;INTRODUÇÃO À OTIMIZAÇÃO COMBINATÓRIA
ICC501;SIMULAÇÃO DE EVENTOS DISCRETOS
ICC521;TÓPICOS AVANÇADOS EM OTIMIZAÇÃO
ICC020;INTRODUÇAO A PROGRAMAÇÃO
ICC120;MATEMÁTICA DISCRETA
ICC411;FUNDAMENTOS DA ENGENHARIA DE SOFTWARE
IEM012;ÁLGEBRA LINEAR I
IHE130;INGLÊS INSTRUMENTAL I
FAA011;INTRODUÇÃO À ADMINISTRAÇÃO
ICC002;ALGORITMOS E ESTRUTURA DE DADOS I
ICC011;LABORATÓRIO DE PROGRAMAÇÃO A
IEM022;ÁLGEBRA LINEAR II
IEM075;CÁLCULO DIFERENCIAL E INTEGRAL I
ICC003;ALGORITMOS E ESTRUTURAS DE DADOS II
ICC014;LABORATÓRIO DE PROGRAMAÇÃO AVANÇADA
ICC066;INTRODUÇÃO A ORGANIZAÇÃO DE COMPUTADORES
IEE001;PROBABILIDADE E ESTATISTICA
IEM076;CÁLCULO DIFERENCIAL E INTEGRAL II
ICC043;PARADIGMA DE LINGUAGENS DE PROGRAMAÇÃO
ICC065;SISTEMAS OPERACIONAIS I
ICC205;INTRODUÇÃO A BANCO DE DADOS
ICC406;INTERAÇÃO HUMANO-COMPUTADOR
ICC412;PROCESSO DE DESENVOLVIMENTO DE SOFTWARE
ICC007;PROGRAMAÇÃO PARA WEB
ICC104;INFORMÁTICA, ÉTICA E SOCIEDADE
ICC309;REDES DE COMPUTADORES
ICC413;ENGENHARIA DE REQUISITOS E ANÁLISE DE SISTEMAS
ICC414;VERIFICAÇÃO, VALIDAÇÃO E TESTE DE SOFTWARE
FAE101;INTRODUCÃO À ECONOMIA A
ICC006;PROJETO E ANÁLISE DE ALGORITMOS
ICC313;AUDITORIA E SEGURANÇA DE SISTEMAS
ICC404;GERÊNCIA DE PROJETOS
ICC415;PROJETO E ARQUITETURA DE SISTEMAS
ICC113;EMPREENDEDORISMO EM TECNOLOGIA DA INFORMAÇÃO
ICC210;PRÁTICA EM BANCO DE DADOS
ICC416;PRÁTICA EM ENGENHARIA DE SOFTWARE
ICC417;GERÊNCIA DE CONFIGURAÇÃO
ICC420;TÓPICOS ESPECIAIS EM ENGENHARIA DE SOFTWARE I
ICC150;TRABALHO DE CONCLUSÃO DE CURSO
ICC151;ESTÁGIO SUPERVISIONADO
FAA085;COMPORTAMENTO HUMANO NAS ORGANIZAÇÕES
FAA112;ESTRATÉGIA ORGANIZACIONAL
ICC122;ESTATÍSTICA COMPUTACIONAL
IEM772;MATEMÁTICA BÁSICA
IHP123;LINGUA BRASILEIRA DE SINAIS B